,Unnamed: 0,Location ID,City Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,Nearby Flag,Nearby Salon Address,Distance to Nearby Salon (km)
114,238,LOC_1,Mangadu,Naturals Salon,"Thulasi Doss Nagar, No 33, Kundrathur Main Road, Astha Lakshmi Nagar, Kumananchavadi, Poonamallee, Chennai, Tamil Nadu 600056, India",13.0395044,80.1134924,4.7,1100,ChIJZdX-Eu5hUjoRgkNQxEBESEg,https://www.google.com/maps/place/?q=place_id:ChIJZdX-Eu5hUjoRgkNQxEBESEg,Yes,"70, Trunk Rd, Karayanchavadi, Poonamallee, Chennai, Tamil Nadu 600056, India",0.86
115,239,LOC_1,Maraimalai Nagar,Naturals Salon,"51 HIG Vallal Mgr Salai, Grand Southern Trunk Rd, NH-1, Maraimalai Nagar, Tamil Nadu 603209, India",12.7966626,80.02168429999999,4.7,2978,ChIJZUlr3-L5UjoRTB7pO8UsaFs,https://www.google.com/maps/place/?q=place_id:ChIJZUlr3-L5UjoRTB7pO8UsaFs,No,None,0.0
116,240,LOC_1,Medavakkam,Naturals Salon,"No 7, Velachery Rd, opposite Nilgiris Super Market, United Colony, Vengaivasal, Medavakkam, Chennai, Tamil Nadu 600100, India",12.9184288,80.1886943,4.5,1003,ChIJWd8PJh9cUjoRsPVjWNl2llg,https://www.google.com/maps/place/?q=place_id:ChIJWd8PJh9cUjoRsPVjWNl2llg,No,None,0.0
117,241,LOC_2,Medavakkam,Naturals Salon,"188, 231, Velachery Rd, near Sai Sarovar Venture, Pallikaranai, Chengalpattu, Chennai, Tamil Nadu 600100, India",12.9360301,80.2042724,4.8,1963,ChIJiyon-K1dUjoRtPaJT09Wb7g,https://www.google.com/maps/place/?q=place_id:ChIJiyon-K1dUjoRtPaJT09Wb7g,No,None,0.0
118,242,LOC_3,Medavakkam,Naturals Salon,"Plot No 22, Indira Priyadarshini Nagar Kailash Nagar, near Hospital Road, Junction, Perumbakkam, Chennai, Tamil Nadu 600100, India",12.9036775,80.20774469999999,4.4,1718,ChIJ238xNXNcUjoRtIIw8MTQSOI,https://www.google.com/maps/place/?q=place_id:ChIJ238xNXNcUjoRtIIw8MTQSOI,No,None,0.0
119,244,LOC_5,Medavakkam,Naturals Sithalapakkam,"No 197A, 1st Floor, TNHB Colony, Mambakkam - Medavakkam Main Rd, opposite ICICI Bank, Sithalapakkam, Mambakkam, Chennai, Tamil Nadu 600126, India",12.8920011,80.17759219999999,4.7,1658,ChIJs2DV8q9ZUjoR4pa3jpflOGE,https://www.google.com/maps/place/?q=place_id:ChIJs2DV8q9ZUjoR4pa3jpflOGE,No,None,0.0
120,247,LOC_8,Medavakkam,Naturals Signature Salon,"1, Sristi Arcade, Sristi First Avenue, Cheran Nagar, Perumbakkam, Chennai, Tamil Nadu 600100, India",12.8962646,80.19810849999999,4.9,422,ChIJ5dJscNpbUjoRxlwAVwOEggE,https://www.google.com/maps/place/?q=place_id:ChIJ5dJscNpbUjoRxlwAVwOEggE,No,None,0.0
121,251,LOC_1,Mogaippar - Eri Scheme,Naturals Salon,"No B20, 1st Floor, Church Rd, opposite Ellahi Super Market, Mogappair Industrial Estate, Mogappair Eri Scheme, Mogappair East, Chennai, Tamil Nadu 600037, India",13.0760351,80.1813142,4.9,277,ChIJlW5oj6BhUjoRQyENc721zc8,https://www.google.com/maps/place/?q=place_id:ChIJlW5oj6BhUjoRQyENc721zc8,Yes,"No 1 C8 Kamaraj Square, Valayapathi St, Mogappair East, Chennai, Tamil Nadu 600037, India",0.95
122,261,LOC_7,Mogappair,Natural Ice Cream Parlour,"35QH+4VR, Thiruvalluvar Salai, Thiruvalluvar Nagar, J J Nagar, Mogappair East, Chennai, Tamil Nadu 600050, India",13.0878656,80.1796511,3.9,125,ChIJkYQSUfpjUjoRAZngZc8y1ds,https://www.google.com/maps/place/?q=place_id:ChIJkYQSUfpjUjoRAZngZc8y1ds,Yes,"Plot No R48, Door No 157, Tvs Avenue main road, Main Road, Anna Nagar, near Chennai Public School, TVS Colony, Chennai, Tamil Nadu 600101, India",0.98
123,262,LOC_8,Mogappair,Natural Fresh,"NO: 1/8, BAZZAR ROAD, OPP TO M.M.M.HOSPITAL, EAST MUGAPPAIR school), Chennai, Tamil Nadu 600037, India",13.0836016,80.1730906,3.0,1,ChIJe6r8hONjUjoRLtqrZ9jd894,https://www.google.com/maps/place/?q=place_id:ChIJe6r8hONjUjoRLtqrZ9jd894,Yes,"AGP Saantham Building, 4/750, 4th Block, Mogappair West, Ambattur Industrial Estate, Chennai, Tamil Nadu 600037, India",0.62
